doi,cr_title,cr_container_title,cr_short_container_title,cr_volume,cr_issue,cr_page,cr_year
10.1016/j.cub.2010.05.059,Olfaction Modulates Visual Perception in Binocular Rivalry,Current Biology,Current Biology,20,15,1356-1358,2010
10.1103/physrevlett.105.013003,Evaporative Cooling of Antiprotons to Cryogenic Temperatures,Physical Review Letters,Phys. Rev. Lett.,105,1,NA,2010
10.1038/nchem.702,Experimental probing of conical intersection dynamics in the photodissociation of thioanisole,Nature Chemistry,Nature Chem,2,8,627-632,2010
10.1038/nnano.2010.128,Light-driven nanoscale plasmonic motors,Nature Nanotechnology,Nature Nanotech,5,8,570-573,2010
10.1084/jem.20100155,B cell depletion reduces the development of atherosclerosis in mice,Journal of Experimental Medicine,NA,207,8,1579-1587,2010
10.1038/466162c,Atmospheric chemistry: Airborne alcohol,Nature,Nature,466,7303,162-162,2010
10.1038/466162a,Animal biology: Savvy spiders,Nature,Nature,466,7303,162-162,2010
10.1073/pnas.1001394107,Winning territorial disputes selectively enhances androgen sensitivity in neural pathways related to motivation and social aggression,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,27,12393-12398,2010
10.1073/pnas.1004519107,Replenishment of fish populations is threatened by ocean acidification,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,29,12930-12934,2010
10.1111/j.1461-0248.2010.01513.x,Host physiological phenotype explains pathogen reservoir potential,Ecology Letters,NA,13,10,1221-1232,2010
10.1086/655216,Structure of Social Networks in a Passerine Bird: Consequences for Sexual Selection and the Evolution of Mating Strategies,The American Naturalist,The American Naturalist,176,3,E80-E89,2010
10.1098/rspb.2010.1004,How many species of flowering plants are there?,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,278,1705,554-559,2010
10.1126/science.1187659,Rational Design of Envelope Identifies Broadly Neutralizing Human Monoclonal Antibodies to HIV-1,Science,Science,329,5993,856-861,2010
10.1038/nphoton.2010.161,Two-photon interference of the emission from electrically tunable remote quantum dots,Nature Photonics,Nature Photon,4,9,632-635,2010
10.1038/nphoton.2010.165,Broadband terahertz wave remote sensing using coherent manipulation of fluorescence from asymmetrically ionized gases,Nature Photonics,Nature Photon,4,9,627-631,2010
10.1103/physrevlett.105.031301,Upper Bound of 0.28 eV on Neutrino Masses from the Largest Photometric Redshift Survey,Physical Review Letters,Phys. Rev. Lett.,105,3,NA,2010
10.1029/2010gl042496,Recent loss of floating ice and the consequent sea level contribution,Geophysical Research Letters,Geophys. Res. Lett.,37,13,n/a-n/a,2010
10.1073/pnas.1003040107,3D visualization of HIV transfer at the virological synapse between dendritic cells and T cells,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,30,13336-13341,2010
10.1016/j.ccr.2010.04.025,Wnt/Ca2+/NFAT Signaling Maintains Survival of Ph+ Leukemia Cells upon Inhibition of Bcr-Abl,Cancer Cell,Cancer Cell,18,1,74-87,2010
10.1038/466299d,Neuroscience: Memories preserved,Nature,Nature,466,7304,299-299,2010
10.1103/physrevlett.105.034501,Stokes’s Cradle: Newton’s Cradle with Liquid Coating,Physical Review Letters,Phys. Rev. Lett.,105,3,NA,2010
10.1038/466298d,Nanoscience: Polymerization to order,Nature,Nature,466,7304,298-298,2010
10.1038/466299b,Stem cells: Blood source,Nature,Nature,466,7304,299-299,2010
10.1038/466299c,Cell biology: Live-action lipids,Nature,Nature,466,7304,299-299,2010
10.1111/j.1365-2745.2010.01690.x,High Arctic plant community resists 15 years of experimental warming,Journal of Ecology,NA,98,5,1035-1041,2010
10.1130/g30829.1,Priapulid worms: Pioneer horizontal burrowers at the Precambrian-Cambrian boundary,Geology,NA,38,8,711-714,2010
10.1016/j.neuron.2010.05.023,Melanopsin-Expressing Retinal Ganglion-Cell Photoreceptors: Cellular Diversity and Role in Pattern Vision,Neuron,Neuron,67,1,49-60,2010
10.1371/journal.pgen.1001022,Widespread Presence of Human BOULE Homologs among Animals and Conservation of Their Ancient Reproductive Function,PLoS Genetics,PLoS Genet,6,7,e1001022,2010
10.1126/science.1190721,Astrocytes Control Breathing Through pH-Dependent Release of ATP,Science,Science,329,5991,571-575,2010
10.1088/2041-8205/718/2/l194,MEASUREMENT OF THE ANISOTROPY OF COSMIC-RAY ARRIVAL DIRECTIONS WITH ICECUBE,The Astrophysical Journal,ApJ,718,2,L194-L198,2010
10.1126/science.1193748,"Effectiveness and Safety of Tenofovir Gel, an Antiretroviral Microbicide, for the Prevention of HIV Infection in Women",Science,Science,329,5996,1168-1174,2010
10.1002/anie.201003110,Light-Induced Water Splitting with Hematite: Improved Nanostructure and Iridium Oxide Catalysis,Angewandte Chemie International Edition,Angewandte Chemie International Edition,49,36,6405-6408,2010
10.1523/jneurosci.5443-09.2010,Decoding Complete Reach and Grasp Actions from Local Primary Motor Cortex Populations,Journal of Neuroscience,Journal of Neuroscience,30,29,9659-9669,2010
10.1073/pnas.1009205107,Diverse styles of submarine venting on the ultraslow spreading Mid-Cayman Rise,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,32,14020-14025,2010
10.1021/ja104691j,Topology-Directed Control on Thermal Stability: Micelles Formed from Linear and Cyclized Amphiphilic Block Copolymers,Journal of the American Chemical Society,J. Am. Chem. Soc.,132,30,10251-10253,2010
10.1016/j.cub.2010.06.059,Visceral-Locomotory Pistoning in Crawling Caterpillars,Current Biology,Current Biology,20,16,1458-1463,2010
10.1016/j.chemgeo.2010.07.010,Biological nano-mineralization of Ce phosphate by Saccharomyces cerevisiae,Chemical Geology,Chemical Geology,277,1-2,61-69,2010
10.1029/2010gl043699,Extreme sunbathing: Three weeks of small total O3columns and high UV radiation over the southern tip of South America during the 2009 Antarctic O3hole season,Geophysical Research Letters,Geophys. Res. Lett.,37,14,n/a-n/a,2010
10.1111/j.1365-2486.2010.02303.x,"Effects of experimental warming of air, soil and permafrost on carbon balance in Alaskan tundra",Global Change Biology,NA,17,3,1394-1407,2010
10.1063/1.3467263,Plasmon-enhanced microalgal growth in miniphotobioreactors,Applied Physics Letters,Appl. Phys. Lett.,97,4,043703,2010
10.1098/rspb.2010.1148,Fossil evidence on evolution of inner ear cochlea in Jurassic mammals,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B,278,1702,28-34,2010
10.1016/j.neuron.2010.06.018,New Neurons Clear the Path of Astrocytic Processes for Their Rapid Migration in the Adult Brain,Neuron,Neuron,67,2,213-223,2010
10.1051/0004-6361/201015164,Quasar feedback revealed by giant molecular outflows,Astronomy and Astrophysics,A&A,518,NA,L155,2010
10.1126/science.1187936,Microbial Biosynthesis of Alkanes,Science,Science,329,5991,559-562,2010
10.1021/ja105107y,Stopped-Flow NMR: Determining the Kinetics of [rac-(C2H4(1-indenyl)2)ZrMe][MeB(C6F5)3]-Catalyzed Polymerization of 1-Hexene by Direct Observation,Journal of the American Chemical Society,J. Am. Chem. Soc.,132,33,11461-11463,2010
10.1073/pnas.0909432107,Cardiac conduction is required to preserve cardiac chamber morphology,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,33,14662-14667,2010
10.1038/nm.2186,MicroRNA-132–mediated loss of p120RasGAP activates the endothelium to facilitate pathological angiogenesis,Nature Medicine,Nat Med,16,8,909-914,2010
10.1103/physrevlett.105.063001,Extreme Ultraviolet Frequency Comb Metrology,Physical Review Letters,Phys. Rev. Lett.,105,6,NA,2010
10.1029/2010gl044143,Impact of changes in the Sun's conveyor-belt on recent solar cycles,Geophysical Research Letters,Geophys. Res. Lett.,37,14,n/a-n/a,2010
10.1073/pnas.1006393107,A mammalian neural tissue opsin (Opsin 5) is a deep brain photoreceptor in birds,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,34,15264-15268,2010
10.1073/pnas.1002220107,Attenuation of age-related changes in mouse neuromuscular synapses by caloric restriction and exercise,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,33,14863-14868,2010
10.1128/aac.00356-10,Origin and Molecular Evolution of the Determinant of Methicillin Resistance in Staphylococci,Antimicrobial Agents and Chemotherapy,AAC,54,10,4352-4359,2010
10.1016/j.cognition.2010.07.003,God: Do I have your attention?,Cognition,Cognition,117,1,87-94,2010
10.1021/nl100582j,Very Black Infrared Detector from Vertically Aligned Carbon Nanotubes and Electric-Field Poling of Lithium Tantalate,Nano Letters,Nano Lett.,10,9,3261-3266,2010
10.1021/ja1055559,Exploiting Conformational Dynamics To Facilitate Formation and Trapping of Electron-Transfer Photoproducts in Metal Complexes,Journal of the American Chemical Society,J. Am. Chem. Soc.,132,33,11464-11466,2010
10.1021/nl100996u,Graphene in Mice: Ultrahigh In Vivo Tumor Uptake and Efficient Photothermal Therapy,Nano Letters,Nano Lett.,10,9,3318-3323,2010
10.1029/2010gl043622,A global forest canopy height map from the Moderate Resolution Imaging Spectroradiometer and the Geoscience Laser Altimeter System,Geophysical Research Letters,Geophys. Res. Lett.,37,15,n/a-n/a,2010
10.1098/rsbl.2010.0540,A soft-bodied lophophorate from the Silurian of England,Biology Letters,Biol. Lett.,7,1,146-149,2010
10.1098/rsbl.2010.0555,Reproductive competition and the evolution of extreme birth synchrony in a cooperative mammal,Biology Letters,Biol. Lett.,7,1,54-56,2010
10.1098/rspb.2010.1062,Degraded lands worth protecting: the biological importance of Southeast Asia's repeatedly logged forests,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,278,1702,82-90,2010
10.1126/science.1188594,An Emerging Disease Causes Regional Population Collapse of a Common North American Bat Species,Science,Science,329,5992,679-682,2010
10.1029/2010gl044057,Variation of Saturn's UV aurora with SKR phase,Geophysical Research Letters,Geophys. Res. Lett.,37,15,n/a-n/a,2010
10.1101/gr.104976.110,Susceptibility to chronic pain following nerve injury is genetically affected by CACNG2,Genome Research,Genome Research,20,9,1180-1190,2010
10.1016/j.cell.2010.06.040,A Large Intergenic Noncoding RNA Induced by p53 Mediates Global Gene Repression in the p53 Response,Cell,Cell,142,3,409-419,2010
10.1029/2010gl043181,Influence of mitigation policy on ocean acidification,Geophysical Research Letters,Geophys. Res. Lett.,37,15,n/a-n/a,2010
10.1021/nl1024744,Derivitization of Pristine Graphene with Well-Defined Chemical Functionalities,Nano Letters,Nano Lett.,10,9,3754-3756,2010
10.1021/ja105834t,Silver-Catalyzed Late-Stage Fluorination,Journal of the American Chemical Society,J. Am. Chem. Soc.,132,34,12150-12154,2010
10.1084/jem.20092749,Central nervous system (CNS)–resident natural killer cells suppress Th17 responses and CNS autoimmune pathology,Journal of Experimental Medicine,NA,207,9,1907-1921,2010
10.1371/journal.pbio.1000450,Widespread Protein Aggregation as an Inherent Part of Aging in C. elegans,PLoS Biology,PLoS Biol,8,8,e1000450,2010
10.1177/0306312710378448,Weather profits: Weather derivatives and the commercialization of meteorology,Social Studies of Science,Soc Stud Sci,40,5,705-730,2010
10.1523/jneurosci.5413-09.2010,Describing the Brain in Autism in Five Dimensions--Magnetic Resonance Imaging-Assisted Diagnosis of Autism Spectrum Disorder Using a Multiparameter Classification Approach,Journal of Neuroscience,Journal of Neuroscience,30,32,10612-10623,2010
10.1126/science.1192033,"Three-Dimensional, Flexible Nanoscale Field-Effect Transistors as Localized Bioprobes",Science,Science,329,5993,830-834,2010
10.1088/0004-637x/720/1/694,DIMENSION AS A KEY TO THE NEUTRINO MECHANISM OF CORE-COLLAPSE SUPERNOVA EXPLOSIONS,The Astrophysical Journal,ApJ,720,1,694-703,2010
10.1088/2041-8205/720/1/l82,THE GEMINI NICI PLANET-FINDING CAMPAIGN: DISCOVERY OF A CLOSE SUBSTELLAR COMPANION TO THE YOUNG DEBRIS DISK STAR PZ Tel,The Astrophysical Journal,ApJ,720,1,L82-L87,2010
10.1088/0004-637x/720/2/1008,HIGH-ENERGY EMISSION COMPONENTS IN THE SHORT GRB 090510,The Astrophysical Journal,ApJ,720,2,1008-1015,2010
10.1523/jneurosci.1317-10.2010,"Lobster Attack Induces Sensitization in the Sea Hare, Aplysia californica",Journal of Neuroscience,Journal of Neuroscience,30,33,11028-11031,2010
10.1029/2010gl043733,Widespread Amazon forest tree mortality from a single cross-basin squall line event,Geophysical Research Letters,Geophys. Res. Lett.,37,16,n/a-n/a,2010
10.1098/rspb.2010.1112,Genetic and ‘cultural’ similarity in wild chimpanzees,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,278,1704,408-416,2010
10.1126/science.1190287,mTOR-Dependent Synapse Formation Underlies the Rapid Antidepressant Effects of NMDA Antagonists,Science,Science,329,5994,959-964,2010
10.1126/science.1189428,Cell Lineage Reconstruction of Early Zebrafish Embryos Using Label-Free Nonlinear Microscopy,Science,Science,329,5994,967-971,2010
10.1086/656269,Evolution of Cryptic Coloration in Ectoparasites,The American Naturalist,The American Naturalist,176,4,529-535,2010
10.1130/g30984.1,Earthquake-induced thermal anomalies at active volcanoes,Geology,NA,38,9,771-774,2010
10.1016/j.cell.2010.07.011,Reversal of Cancer Cachexia and Muscle Wasting by ActRIIB Antagonism Leads to Prolonged Survival,Cell,Cell,142,4,531-543,2010
10.1038/ngeo941,The age of the Solar System redefined by the oldest Pb–Pb age of a meteoritic inclusion,Nature Geoscience,Nature Geosci,3,9,637-641,2010
10.1073/pnas.1004932107,Cortico-striatal connections predict control over speed and accuracy in perceptual decision making,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,36,15916-15920,2010
10.1073/pnas.1005743107,Extracellular DNA traps promote thrombosis,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,36,15880-15885,2010
10.1088/2041-8205/720/2/l201,MEASURING THE MASS OF SOLAR SYSTEM PLANETS USING PULSAR TIMING,The Astrophysical Journal,ApJ,720,2,L201-L205,2010
10.1101/gr.107920.110,A ChIP-seq defined genome-wide map of vitamin D receptor binding: Associations with disease and evolution,Genome Research,Genome Research,20,10,1352-1360,2010
10.1101/gr.107987.110,Reshaping the gut microbiome with bacterial transplantation and antibiotic intake,Genome Research,Genome Research,20,10,1411-1419,2010
10.1523/jneurosci.5252-09.2010,Transcranial Electric Stimulation Entrains Cortical Neuronal Populations in Rats,Journal of Neuroscience,Journal of Neuroscience,30,34,11476-11485,2010
10.1056/nejmoa1002011,"Inhibition of Mutated, Activated BRAF in Metastatic Melanoma",New England Journal of Medicine,N Engl J Med,363,9,809-819,2010
10.1126/scitranslmed.3001022,A Biosynthetic Alternative to Human Donor Tissue for Inducing Corneal Regeneration: 24-Month Follow-Up of a Phase 1 Clinical Study,Science Translational Medicine,Science Translational Medicine,2,46,46ra61-46ra61,2010
10.1098/rspb.2010.1390,"Insulin signalling regulates remating in female
            Drosophila",Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,278,1704,424-431,2010
10.1016/j.neuron.2010.07.019,Misfolded Mutant SOD1 Directly Inhibits VDAC1 Conductance in a Mouse Model of Inherited ALS,Neuron,Neuron,67,4,575-587,2010
10.1021/nl1024062,Hybrid Nanoparticle−Liposome Detection of Phospholipase Activity,Nano Letters,Nano Lett.,11,4,1401-1405,2010
10.1126/science.1190672,An Adaptable Peptide-Based Porous Material,Science,Science,329,5995,1053-1057,2010
10.1371/journal.pone.0012444,The Impact of Whaling on the Ocean Carbon Cycle: Why Bigger Was Better,PLoS ONE,PLoS ONE,5,8,e12444,2010
10.1371/journal.pgen.1001080,Did Genetic Drift Drive Increases in Genome Complexity?,PLoS Genetics,PLoS Genet,6,8,e1001080,2010
10.1126/science.1195778,"Kepler-9: A System of Multiple Planets Transiting a Sun-Like Star, Confirmed by Timing Variations",Science,Science,330,6000,51-54,2010
10.1002/anie.201002234,A Biologically Inspired Organometallic Fuel Cell (OMFC) That Converts Renewable Alcohols into Energy and Chemicals,Angewandte Chemie International Edition,Angewandte Chemie International Edition,49,40,7229-7233,2010
10.1063/1.3463470,Actual information storage with a recording density of 4 Tbit/in.2 in a ferroelectric recording medium,Applied Physics Letters,Appl. Phys. Lett.,97,9,092901,2010
10.1073/pnas.1006460107,Ancient pinnate leaf mimesis among lacewings,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,37,16212-16215,2010
10.1016/j.biombioe.2010.07.033,Technoeconomic analysis of biofuels: A wiki-based platform for lignocellulosic biorefineries,Biomass and Bioenergy,Biomass and Bioenergy,34,12,1914-1921,2010
10.1098/rspb.2010.1418,How resource quality differentially affects motivation and ability to fight in hermit crabs,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,278,1705,567-573,2010
10.1098/rspb.2010.1572,"Mothers matter! Maternal support, dominance status and mating success in male bonobos (
            Pan paniscus
            )",Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,278,1705,590-598,2010
10.1016/j.cognition.2010.08.009,Can false memories prime problem solutions?,Cognition,Cognition,117,2,176-181,2010
10.1038/ismej.2010.132,Microbial community structures in anoxic freshwater lake sediment along a metal contamination gradient,The ISME Journal,ISME J,5,3,543-558,2010
10.1126/science.1185231,The Spread of Behavior in an Online Social Network Experiment,Science,Science,329,5996,1194-1197,2010
10.1016/j.cell.2010.07.041,GPR120 Is an Omega-3 Fatty Acid Receptor Mediating Potent Anti-inflammatory and Insulin-Sensitizing Effects,Cell,Cell,142,5,687-698,2010
10.1016/j.cell.2010.07.039,Generation of Rat Pancreas in Mouse by Interspecific Blastocyst Injection of Pluripotent Stem Cells,Cell,Cell,142,5,787-799,2010
10.1029/2010gl043898,Do global warming targets limit heatwave risk?,Geophysical Research Letters,Geophys. Res. Lett.,37,17,n/a-n/a,2010
10.1038/ncb2105,A Pumilio-induced RNA structure switch in p27-3′ UTR controls miR-221 and miR-222 accessibility,Nature Cell Biology,Nat Cell Biol,12,10,1014-1020,2010
10.1039/c0sc00316f,Site-specific photocatalytic splitting of methanol on TiO2(110),Chemical Science,Chem. Sci.,1,5,575,2010
10.1111/j.1461-0248.2010.01528.x,Comparing organic farming and land sparing: optimizing yield and butterfly populations at a landscape scale,Ecology Letters,NA,13,11,1358-1367,2010
10.1111/j.1745-3933.2010.00936.x,Forming the first planetary systems: debris around Galactic thick disc stars,Monthly Notices of the Royal Astronomical Society: Letters,NA,408,1,L90-L94,2010
10.1063/1.3486115,Biologically inspired humidity sensor based on three-dimensional photonic crystals,Applied Physics Letters,Appl. Phys. Lett.,97,10,103701,2010
10.1073/pnas.1000079107,Human mucosal in vivo transcriptome responses to three lactobacilli indicate how probiotics may modulate human cellular pathways,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,108,Supplement_1,4562-4569,2010
10.1098/rspb.2010.1145,Absence of mammals and the evolution of New Zealand grasses,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B,278,1706,695-701,2010
10.1242/jeb.046052,Aerodynamic characteristics of flying fish in gliding flight,Journal of Experimental Biology,Journal of Experimental Biology,213,19,3269-3279,2010
10.1073/pnas.1004498107,A small-molecule scaffold induces autophagy in primary neurons and protects against toxicity in a Huntington disease model,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,39,16982-16987,2010
10.1038/nmat2834,Highly sensitive flexible pressure sensors with microstructured rubber dielectric layers,Nature Materials,Nature Mater,9,10,859-864,2010
10.1016/j.cub.2010.08.033,Great Bowerbirds Create Theaters with Forced Perspective When Seen by Their Audience,Current Biology,Current Biology,20,18,1679-1684,2010
10.1084/jem.20100559,Stimulation of lymphangiogenesis via VEGFR-3 inhibits chronic skin inflammation,Journal of Experimental Medicine,NA,207,10,2255-2269,2010
10.1038/467254f,Psychology: Gaming the brain,Nature,Nature,467,7313,254-255,2010
10.1086/656487,Floral Mimicry Enhances Pollen Export: The Evolution of Pollination by Sexual Deceit Outside of the Orchidaceae,The American Naturalist,The American Naturalist,176,5,E143-E151,2010
10.1126/scitranslmed.3001262,Personalized Epigenomic Signatures That Are Stable Over Time and Covary with Body Mass Index,Science Translational Medicine,Science Translational Medicine,2,49,49ra67-49ra67,2010
10.1029/2010gl044514,How ocean color can steer Pacific tropical cyclones,Geophysical Research Letters,Geophys. Res. Lett.,37,18,n/a-n/a,2010
10.1126/science.1191701,Differential Arginylation of Actin Isoforms Is Regulated by Coding Sequence-Dependent Degradation,Science,Science,329,5998,1534-1537,2010
10.1371/journal.pgen.1001101,SNPs Associated with Cerebrospinal Fluid Phospho-Tau Levels Influence Rate of Decline in Alzheimer's Disease,PLoS Genetics,PLoS Genet,6,9,e1001101,2010
10.1016/j.jesp.2010.09.002,Mind your mannerisms: Behavioral mimicry elicits stereotype conformity,Journal of Experimental Social Psychology,Journal of Experimental Social Psychology,47,1,195-201,2010
10.1016/j.cell.2010.08.038,Identification of Aneuploidy-Tolerating Mutations,Cell,Cell,143,1,71-83,2010
10.1016/j.cub.2010.08.028,"Artificial Night Lighting Affects Dawn Song, Extra-Pair Siring Success, and Lay Date in Songbirds",Current Biology,Current Biology,20,19,1735-1739,2010
10.1016/j.cub.2010.08.041,Shapes of Krill Swarms and Fish Schools Emerge as Aggregation Members Avoid Predators and Access Oxygen,Current Biology,Current Biology,20,19,1758-1762,2010
10.1002/anie.201001244,“Organic Aqua Regia”-Powerful Liquids for Dissolving Noble Metals,Angewandte Chemie International Edition,Angewandte Chemie International Edition,49,43,7929-7932,2010
10.1098/rspb.2010.1753,Social organization in a flatworm: trematode parasites form soldier and reproductive castes,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B,278,1706,656-665,2010
10.1038/nm.2213,Dynamic regulation of cardiolipin by the lipid pump Atp8b1 determines the severity of lung injury in experimental pneumonia,Nature Medicine,Nat Med,16,10,1120-1127,2010
10.1038/nn.2632,Anandamide suppresses pain initiation through a peripheral endocannabinoid mechanism,Nature Neuroscience,Nat Neurosci,13,10,1265-1270,2010
10.1038/nchembio.445,An aminotransferase branch point connects purine catabolism to amino acid recycling,Nature Chemical Biology,Nat Chem Biol,6,11,801-806,2010
10.1038/nphys1762,Observation of topological order in a superconducting doped topological insulator,Nature Physics,Nature Phys,6,11,855-859,2010
10.1111/j.1474-9726.2010.00632.x,SCFFbx2-E3-ligase-mediated degradation of BACE1 attenuates Alzheimer’s disease amyloidosis and improves synaptic function,Aging Cell,NA,9,6,1018-1031,2010
10.1073/pnas.1003170107,Stealth predation and the predatory success of the invasive ctenophore Mnemiopsis leidyi,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,40,17223-17227,2010
10.1038/ncomms1078,Image transmission through an opaque material,Nature Communications,Nat Commun,1,1,NA,2010
10.1098/rsbl.2010.0726,Extreme male leg polymorphic asymmetry in a new empidine dance fly (Diptera: Empididae),Biology Letters,Biol. Lett.,7,1,11-14,2010
10.1098/rspb.2010.1342,Long-term isolation of a highly mobile seabird on the Galapagos,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B,278,1707,817-825,2010
10.1029/2010jc006113,Long-term and recent changes in sea level in the Falkland Islands,Journal of Geophysical Research,J. Geophys. Res.,115,C9,NA,2010
10.1029/2010gl044366,Formation of cratonic mantle keels by arc accretion: Evidence from S receiver functions,Geophysical Research Letters,Geophys. Res. Lett.,37,18,n/a-n/a,2010
10.1016/j.immuni.2010.08.018,In Vivo Imaging of Partially Reversible Th17 Cell-Induced Neuronal Dysfunction in the Course of Encephalomyelitis,Immunity,Immunity,33,3,424-436,2010
10.1111/j.1365-246x.2010.04771.x,Flattening of the Earth: further from hydrostaticity than previously estimated,Geophysical Journal International,NA,183,2,727-732,2010
10.1038/nnano.2010.177,Replication of individual DNA molecules under electronic control using a protein nanopore,Nature Nanotechnology,Nature Nanotech,5,11,798-806,2010
10.1083/jcb.201002041,LIM kinases are required for invasive path generation by tumor and tumor-associated stromal cells,Journal of Cell Biology,NA,191,1,169-185,2010
10.1038/467503c,Cognitive neuroscience: How self-touch relieves pain,Nature,Nature,467,7315,503-503,2010
10.1038/467503f,Cancer biology: Sequencing guides cancer treatment,Nature,Nature,467,7315,503-503,2010
10.1073/pnas.1003577107,Dispersal of fungal spores on a cooperatively generated wind,Proceedings of the National Academy of Sciences,Proc Natl Acad Sci USA,107,41,17474-17479,2010
10.1021/ja1072349,Magnetically Powered Flexible Metal Nanowire Motors,Journal of the American Chemical Society,J. Am. Chem. Soc.,132,41,14403-14405,2010
10.1021/ja105930b,Structural Characterization of a Copper Nitrosyl Complex with a {CuNO}10Configuration,Journal of the American Chemical Society,J. Am. Chem. Soc.,132,41,14336-14337,2010
10.1523/jneurosci.2105-10.2010,Weight Gain Is Associated with Reduced Striatal Response to Palatable Food,Journal of Neuroscience,Journal of Neuroscience,30,39,13105-13109,2010
10.1126/scitranslmed.3001118,A Central Role for Free Heme in the Pathogenesis of Severe Sepsis,Science Translational Medicine,Science Translational Medicine,2,51,51ra71-51ra71,2010
10.1098/rspb.2010.1579,Correlates of rediscovery and the detectability of extinction in mammals,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B,278,1708,1090-1097,2010
10.1130/g31371.1,"Active drumlin field revealed at the margin of Múlajökull, Iceland: A surge-type glacier",Geology,NA,38,10,943-946,2010
10.1371/journal.pgen.1001144,Gene–Environment Interactions at Nucleotide Resolution,PLoS Genetics,PLoS Genet,6,9,e1001144,2010
10.1016/j.cell.2010.09.001,Long Noncoding RNAs with Enhancer-like Function in Human Cells,Cell,Cell,143,1,46-58,2010
10.1016/j.cell.2010.08.039,EphB Signaling Directs Peripheral Nerve Regeneration through Sox2-Dependent Schwann Cell Sorting,Cell,Cell,143,1,145-155,2010
10.1016/j.stem.2010.08.012,Highly Efficient Reprogramming to Pluripotency and Directed Differentiation of Human Cells with Synthetic Modified mRNA,Cell Stem Cell,Cell Stem Cell,7,5,618-630,2010
10.1038/nbt.1686,Non-invasive imaging of human embryos before embryonic genome activation predicts development to the blastocyst stage,Nature Biotechnology,Nat Biotechnol,28,10,1115-1121,2010
10.1073/pnas.1000601107,Structure of bacterial cellulose synthase subunit D octamer with four inner passageways,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,42,17957-17961,2010
10.1073/pnas.0909766107,Dated molecular phylogenies indicate a Miocene origin for Arabidopsis thaliana,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,107,43,18724-18728,2010
10.1126/scitranslmed.3001059,"PGC-1 , A Potential Therapeutic Target for Early Intervention in Parkinson's Disease",Science Translational Medicine,Science Translational Medicine,2,52,52ra73-52ra73,2010
10.1098/rsbl.2010.0716,Colourful parrot feathers resist bacterial degradation,Biology Letters,Biol. Lett.,7,2,214-216,2010
10.1098/rspb.2010.1867,"Dispersal and diversity in the earliest North American sauropodomorph dinosaurs, with a description of a new taxon",Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,278,1708,1044-1053,2010
10.1016/j.neuron.2010.09.003,Neural Responses to Ingroup and Outgroup Members' Suffering Predict Individual Differences in Costly Helping,Neuron,Neuron,68,1,149-160,2010
10.1016/j.neuron.2010.09.006,Circadian and Homeostatic Regulation of Structural Synaptic Plasticity in Hypocretin Neurons,Neuron,Neuron,68,1,87-98,2010
10.1016/j.ecolecon.2010.09.014,"From constraint to sufficiency: The decoupling of energy and carbon from human needs, 1975–2005",Ecological Economics,Ecological Economics,70,2,425-433,2010
10.1038/nm.2238,Efficient hepatitis C virus particle formation requires diacylglycerol acyltransferase-1,Nature Medicine,Nat Med,16,11,1295-1298,2010
10.1038/nsmb.1930,Structural polymorphism in F-actin,Nature Structural & Molecular Biology,Nat Struct Mol Biol,17,11,1318-1323,2010
10.1038/ni.1944,IL-37 is a fundamental inhibitor of innate immunity,Nature Immunology,Nat Immunol,11,11,1014-1022,2010
10.1021/ja1044192,Superresolution Imaging of Targeted Proteins in Fixed and Living Cells Using Photoactivatable Organic Fluorophores,Journal of the American Chemical Society,J. Am. Chem. Soc.,132,43,15099-15101,2010
